MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Azimuth,Angle,Direction,Fall,cone direction,cone probability
1755325076813,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.7364715785522,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325076935,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.6739877346401,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077033,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.89267957696995,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077138,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-262.0176443183491,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077235,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.9551621318019,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077339,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.7989550541501,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077424,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.9864032711074,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077538,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.9551621318019,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077659,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-262.1113669076225,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077757,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-262.39252970369245,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077850,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-262.54872803475183,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325077958,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-262.45500931230566,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325078060,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-262.7361629939906,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325078158,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.2359733500281,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325078272,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-262.98607111772117,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325078405,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.1422607033004,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325078499,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.64205191304035,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325078610,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.6732880812748,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325078725,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.5171063196714,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325078826,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.5795793004392,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325078919,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.79823183382047,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079042,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.32968516832915,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079137,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.7669960337428,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079257,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-263.8294675418639,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079342,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.0168798573651,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079466,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.2355233712699,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079571,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.1730542560202,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079667,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.2667577908532,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079761,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.3916945488929,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079875,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.547863425856,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325079985,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.36046049742697,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325080100,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.89142685727154,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325080206,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.92265934438126,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325080303,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-265.17251592875374,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325080402,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-264.9538917394764,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325080506,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-265.35990450255355,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325080603,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-265.48482837827606,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325080717,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-265.51605911719736,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325080821,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-265.95327980188256,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325080914,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-266.60907702108136,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325081030,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-266.2967976903812,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325081138,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-266.4841663926239,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325081243,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-266.73398617780754,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325081340,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-266.95257366087526,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325081451,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.01502639966526,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325081553,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-266.92134715351256,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325081685,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-266.95257366087526,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325081793,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.38973510673367,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325081922,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.1399307735624,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325082047,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.1399307735624,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325082166,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.60830906994755,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325082266,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.38973510673367,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325082359,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.60830906994755,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325082461,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.85810236727485,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325082570,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.01502639966526,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
